ID,Kerne_A,Cyto_A,K/C,Kerne_Ycol,Cyto_Ycol,KerneShort,KerneLong,KerneElong,KerneRund,CytoShort,CytoLong,CytoElong,CytoRund,KernePeri,CytoPeri,KernePos,KerneMax,KerneMin,CytoMax,CytoMin,Class
153958345-153958392-001.BMP,803.5,27804.125,0.028086917,85.8660826,192.5246309,29.83219074,34.82814953,0.856553998,0.843403112,181.5748862,242.0433845,0.75017496,0.60427262,101.375,673.5,0.230066948,44,37,649,655,1
153960256-153960295-002.BMP,610.125,18067.875,0.032665435,81.53135314,153.4398382,25.31987145,30.8058436,0.821917808,0.818583011,171.1087656,197.5702407,0.866065481,0.589351154,85.25,597,0.043701229,36,26,502,504,1
157181281-157181308-001.BMP,990.375,79029.875,0.012376555,77.84365482,118.0011775,33.55290063,38.32753579,0.87542546,0.858396606,290.2502456,355.8033165,0.815760372,0.794843139,111.75,1059.125,0.141150255,53,37,2267,2500,1
157181387-157181418-001.BMP,554.5,98941,0.005573116,70.05454545,139.3598451,23.79925407,29.83286778,0.797752809,0.793271155,327.9830556,425.6195484,0.770601484,0.695413762,81,1264.5,0.079801205,38,29,2885,2960,1
157181525-157181540-001.BMP,636.375,99663.25,0.00634474,76.95094937,137.7482934,25.9461887,31.25699922,0.830092119,0.829332462,418.4945404,344.1932597,1.215870819,1.071125704,87.875,1250.625,0.121304313,36,24,2978,3159,1
157181569-157181599-001.BMP,689.5,62074.25,0.010985641,76.46793003,138.3420064,27.56620034,33.30165161,0.827772768,0.791612864,242.7274242,347.0806823,0.699340057,0.656085916,93.125,958.625,0.16918775,45,35,1955,2016,1
157181671-157181686-001.BMP,722.25,127313.75,0.005640992,73.70891365,146.4226438,26.34639329,34.53983208,0.7627829,0.770827545,414.89171,428.7528426,0.967671042,0.88180266,92.5,1383.375,0.062488589,40,22,3763,3613,1
157181671-157181697-001.BMP,562.375,69395.875,0.008038723,67.45617174,148.9643934,22.24634801,31.78049716,0.7,0.708948603,323.0749409,319.4119597,1.01146789,0.866046933,83.875,1022.125,0.20115348,38,24,2270,2154,1
157181671-157181708-001.BMP,520.75,92213.625,0.005615501,70.11218569,144.9375488,24.48120666,26.30589288,0.930635838,0.958149556,307.6736994,446.9507803,0.688383851,0.587740765,77.5,1304.625,0.182526474,34,18,3094,3188,1
157183193-157183241-001.BMP,646.875,67751.75,0.009457427,71.93146417,135.5057169,24.89924831,33.61547263,0.740707965,0.728873301,276.5613124,353.6467164,0.78202709,0.689749471,88.75,1016,0.169581386,38,27,2213,2398,1
157183193-157183279-001.BMP,704,54104.375,0.012844752,73.71285714,142.6312752,26.05942834,33.61547263,0.775221239,0.793239504,268.317729,336.8990947,0.796433512,0.606935884,92.125,952.75,0.181695916,45,31,1607,1657,1
157183332-157183346-001.BMP,707,58479,0.011945393,75.63494318,138.9366285,25.1369832,36.40054945,0.690566038,0.679381402,321.0069392,303.1336339,1.058961802,0.810292473,96,927,0.310059689,40,26,1932,2138,1
157183332-157183361-001.BMP,619.5,36464.375,0.016705374,73.16071429,133.9796607,26.52641756,30.08321791,0.881767956,0.871571158,188.0532533,262.0534297,0.717614166,0.676081725,85,732.125,0.23243109,29,22,1100,1232,1
157183332-157183376-001.BMP,756,76739,0.009755468,79.25797872,137.5943979,26.44579362,35.35533906,0.748,0.770055277,309.5531568,382.2316052,0.809857564,0.668764276,96,1161,0.140711798,43,37,2601,2803,1
157183412-157183614-001.BMP,615.125,42650,0.014217571,63.58919804,125.310586,25.012515,31.06444913,0.805181347,0.811607746,283.4467604,257.4839801,1.100832604,0.819084536,85.25,845.875,0.149394659,42,25,1548,1651,1
157183412-157183638-001.BMP,394.625,12631.25,0.03029547,57.08439898,94.56619338,14.80523587,32.89376841,0.450092421,0.464373526,123.8334161,162.7912774,0.760688276,0.60686793,76.25,458.5,0.228382609,33,21,398,444,1
157183722-157183783-001.BMP,507.125,21333.5,0.023219345,63.01394422,96.37124343,20.97648013,35.4682957,0.591414944,0.513268366,151.6457381,209.3036072,0.724525201,0.620038711,93.625,732.5,0.281211914,39,28,702,716,1
157183722-157183783-002.BMP,461.375,33941.75,0.013410846,63.45969499,121.0391943,17.22284929,33.73425559,0.510544816,0.516204653,208.4629697,250.7927431,0.831216115,0.68709125,81.75,749,0.412090726,31,28,982,1036,1
157183964-157183980-001.BMP,557.375,40440.375,0.013595258,66.49005425,117.4488427,21.58218577,32.20248438,0.670202507,0.684350908,235.2386062,311.8493226,0.75433419,0.529463081,81.75,813,0.21187982,34,20,1193,1341,1
157183964-157183991-001.BMP,576.625,21481.75,0.026140865,66.56893543,106.6944198,24.58474641,28.63564213,0.858536585,0.895343601,129.8868405,231.6246964,0.560764213,0.509811996,82.25,594.75,0.061133649,39,33,558,597,1
157184013-157184031-001.BMP,498.5,29412,0.016666388,59.32258065,106.2572664,22.77240373,30.87069808,0.737670514,0.666012501,183.4425555,250.9123353,0.731102181,0.594826969,81,706.25,0.258051443,31,27,808,850,1
157184112-157184128-001.BMP,344.25,25096.5,0.013531441,63.63343109,117.0414539,20.78893937,21.21320344,0.98,0.974028252,158.0463957,233.7541443,0.676122326,0.584796329,62.5,632.375,0.2637358,20,14,680,728,1
157184850-157184870-001.BMP,496.5,63081,0.007809367,71.47667343,128.9356865,24.14039396,26.92582404,0.896551724,0.871949564,306.9918761,320.1452795,0.958914267,0.783636187,77.125,990.625,0.182536151,19,13,1822,2099,1
157184850-157184891-001.BMP,659.375,85638.5,0.007640686,74.17862595,148.5203795,20.94683356,39.05124838,0.536393443,0.550519557,347.7812486,409.4642842,0.849356738,0.650349961,95.75,1342.875,0.197275369,35,13,2820,2628,1
157184850-157184942-001.BMP,478.625,78906.5,0.006029152,65.22268908,121.1310434,13.97391392,42.57933771,0.328185328,0.336130324,321.1397552,362.7299271,0.885341217,0.763582773,96.25,1064.75,0.020191879,29,26,2356,2575,1
157184850-157184976-001.BMP,885.25,44555,0.019481627,73.64772727,130.3763228,32.38962098,36.40054945,0.889811321,0.850668156,217.9952164,291.2953827,0.748364819,0.668558424,106.5,824.625,0.155330989,60,31,1235,1302,1
157184999-157185032-001.BMP,717.5,64057.375,0.011076826,92.60308555,145.8197784,27.85888436,33.52610923,0.830960854,0.812766346,254.5977353,399.9524972,0.636569935,0.509873489,93,1151.625,0.295486268,35,22,2221,2233,1
157185054-157185079-001.BMP,412.375,75453.125,0.005435606,71.62591687,137.5942254,19.46087144,26.92582404,0.722758621,0.724209872,286.5256734,367.129405,0.780448718,0.712769339,69.75,1093.25,0.173873868,27,16,2225,2466,1
157185133-157185143-001.BMP,327.75,58102.125,0.005609288,70.14153846,137.2010164,18.85980667,21.63330765,0.871794872,0.891675771,292.6967774,315.9003007,0.926547954,0.741313751,61.5,1024.25,0.042199695,24,17,1994,1942,1
157185164-157185177-001.BMP,463,76972.5,0.00597917,72.52287582,145.0051617,24.9476975,23.76972865,1.049557522,1.04338037,309.0863082,429.8022801,0.719136036,0.530527964,74,1293.625,0.075957562,40,19,2440,2316,1
157185164-157185196-001.BMP,336.25,46421.875,0.007191264,63.1021021,141.5838078,22.55814768,19.41648784,1.161803714,1.135614846,218.7753972,322.8699429,0.677596048,0.566992825,62.5,972.75,0.251868207,23,18,1586,1496,1
157185208-157185238-001.BMP,697.25,96872,0.007146206,97.64502165,157.5882772,28.03185002,32.24903099,0.869230769,0.853621416,291.4806472,450.6439837,0.646809139,0.607353069,90.5,1381.5,0.123434017,33,28,3906,3709,1
157185309-157185360-001.BMP,614.75,95521.375,0.006394579,96.33715221,154.2863353,23.13370541,33.24154028,0.695927602,0.708347521,309.7576221,472.1207473,0.656098305,0.545637879,87.5,1267.125,0.088594185,29,17,3883,4000,1
157185613-157185627-001.BMP,837.625,85699.5,0.009679372,72.2605042,144.9752213,28.2061336,42.04759208,0.67081448,0.60322244,303.7333731,411.5385766,0.738043504,0.644269103,104.25,1202.75,0.224316948,48,28,2613,2477,1
157222534-157222607-001.BMP,414.125,53612.125,0.007665255,62.30656934,143.200407,20.76,25,0.8304,0.843648522,246.8958956,329.8029715,0.748616346,0.627572655,69.25,1011.25,0.091691656,22,19,1330,1379,1
157222737-157222750-001.BMP,355.875,37256.375,0.009461678,57.96033994,108.9358358,18.0838886,24.33105012,0.743243243,0.765395478,236.7843914,264.620483,0.894807495,0.677429024,66.75,830.25,0.171304838,30,24,954,951,1
157222737-157222750-002.BMP,709.5,39707.75,0.017554386,63.77730496,131.787263,29.92061569,30.41381265,0.983783784,0.976609143,205.4527297,284.2551671,0.722775708,0.625703612,91,873,0.165312684,42,28,1037,901,1
157222904-157223196-001.BMP,601.875,43060.25,0.013784831,64.19063545,135.714661,23.41927187,34.92849839,0.670491803,0.628140206,227.7571573,313.1932311,0.727209705,0.558935805,88.75,1040,0.235752226,41,26,1060,967,1
157222904-157223217-001.BMP,667.375,39748.375,0.016512746,62.90196078,137.2857935,26.66355015,31.01612484,0.85966736,0.88329339,224.1204044,303.2655602,0.739023595,0.55027947,87.75,985.25,0.229980403,45,37,1033,866,1
157223659-157223667-001.BMP,454.625,55022.75,0.008194782,73.72727273,139.2395962,24.35213794,24.51530134,0.993344426,0.963138982,256.5851822,292.4175097,0.877461758,0.819305108,72.25,893,0.494316097,33,23,1542,1559,1
157223659-157223667-002.BMP,451.625,41316.875,0.010812574,70.61160714,139.9546292,22,25,0.88,0.920042895,230.3703055,297.1346496,0.775306097,0.595841828,72.25,1023.25,0.263354011,25,15,1150,1104,1
157223735-157223751-001.BMP,743.625,88767.375,0.008307638,71.73748309,140.1671683,27.88101949,32.28002478,0.863723608,0.908649478,317.4639544,396.7694545,0.800121962,0.717938156,94.25,1249.5,0.22810639,44,34,2632,2559,1
157223735-157223766-001.BMP,602.875,58036.75,0.010281017,66.19198664,130.5912454,31,26,1.192307692,1.135509306,242.9219484,352.8540775,0.68844875,0.593503005,84.75,1051.875,0.071241918,46,29,1731,1746,1
157223779-157224126-001.BMP,644,95511.5,0.006697485,70.5015625,139.3173351,26.82991473,30.41381265,0.882162162,0.886450018,323.3220026,389.8435584,0.829363461,0.800175149,88.25,1263.75,0.075573459,46,31,2837,3055,1
157224172-157224179-001.BMP,468.75,43787.875,0.010591635,60.45806452,119.5272278,20.60369373,28.63564213,0.719512195,0.727842728,224.2655221,307.3499634,0.729674797,0.590197896,75.5,880.375,0.057551554,33,24,1130,1166,1
157224244-157224258-001.BMP,585.375,69157.375,0.008393346,63.12048193,120.9303564,23.76183369,31.01612484,0.766112266,0.774763616,330.0130046,337.5351834,0.977714386,0.772877246,85.75,1116.5,0.342185062,38,33,1909,2084,1
157224297-157224304-001.BMP,572.625,66107.875,0.008587593,67.28169014,134.4890386,25.91442578,27.51363298,0.941875826,0.963129187,310.5422992,358.7659404,0.865584673,0.653944517,82.25,1150.375,0.071409526,37,35,1976,1998,1
157224297-157224304-002.BMP,646.125,77871.875,0.008229005,71.31464174,136.7567891,28.38845814,30.3644529,0.934924078,0.892268873,341.8049188,352.2740411,0.970281312,0.798968151,89.25,1248.625,0.035231254,41,32,2557,2612,1
157224297-157224320-001.BMP,640.25,71895.375,0.008826697,65.71226415,131.8943199,27.47407334,29.15475947,0.942352941,0.959048963,295.6833018,415.7691667,0.711171788,0.529549441,86.5,1258.375,0.102463938,43,31,1913,2002,1
157224297-157224320-002.BMP,528.5,79108.25,0.006636383,70.04,142.6293958,25.45632319,25.61249695,0.993902439,1.025773017,282.7219894,455.1856764,0.621113546,0.486132572,79,1245.625,0.069682702,26,22,2476,2456,1
